Key,en,es,ar,fr
Decline,Decline,Rechazar,انخفاض,Déclin
Transaction request sended successfully!,Transaction request sended successfully!,¡Solicitud de transacción enviada con éxito!,تم إرسال طلب المعاملة بنجاح!,Demande de transaction envoyée avec succès!
Added Money Canceled Successfully,Added Money Canceled Successfully,El dinero agregado cancelado con éxito,تم إلغاء الأموال المضافة بنجاح,Ajout de l'argent annulé avec succès
Crypto Payment Address,Crypto Payment Address,Dirección de pago cripto,عنوان دفع التشفير,Adresse de paiement cryptographique
Transaction hash is required for verify,Transaction hash is required for verify,Se requiere hash de transacción para verificar,تجزئة المعاملة مطلوبة للتحقق,Le hachage de transaction est requis pour vérifier
Transaction hash is not valid! Please input a valid hash,Transaction hash is not valid! Please input a valid hash,¡La transacción hash no es válida! Ingrese un hash válido,تجزئة المعاملة غير صالحة! الرجاء إدخال تجزئة صالحة,Le hachage de transaction n'est pas valide! Veuillez saisir un hachage valide
Insufficient amount added. Please contact with system administrator,Insufficient amount added. Please contact with system administrator,Cantidad insuficiente agregada. Póngase en contacto con el administrador del sistema,المبلغ غير الكافي المضافة. يرجى الاتصال بمسؤول النظام,Montant insuffisant ajouté. Veuillez contacter avec l'administrateur système
Payment Confirmation Success,Payment Confirmation Success,Éxito de confirmación de pagos,نجاح تأكيد الدفع,Succès de confirmation de paiement
Gateway is not available right now! Please contact with system administration,Gateway is not available right now! Please contact with system administration,¡Gateway no está disponible en este momento! Póngase en contacto con la administración del sistema,البوابة غير متوفرة الآن! يرجى الاتصال مع إدارة النظام,Gateway n'est pas disponible pour le moment! Veuillez contacter avec l'administration du système
No Action Executed!,No Action Executed!,¡No hay acción ejecutada!,لم ينفذ أي إجراء!,Aucune action exécutée!
User Transaction Requirements Not Found!,User Transaction Requirements Not Found!,¡Los requisitos de transacción de usuario no se encuentran!,متطلبات معاملة المستخدم غير موجودة!,Exigences de transaction utilisateur introuvables!
Pay With This Address,Pay With This Address,Pagar con esta dirección,دفع مع هذا العنوان,Payer avec cette adresse
Request Amount,Request Amount,Cantidad de la solicitud,طلب المبلغ,Demander le montant
coinGate,Coin Gate,Puerta de moneda,بوابة العملة,Porte-monnaie
tatumPayment,Tatum Payment,TATUM PAGO,دفع tatum,Paiement de tatum
payWithThisAddress,Pay With This Address,Pagar con esta dirección,دفع مع هذا العنوان,Payer avec cette adresse
addressCopyTo,Address Copy To,Dirección de copia a,عنوان نسخة إلى,Adressez la copie à
limit,Limit,Límite,حد,Limite
password,Password,Contraseña,كلمة المرور,Mot de passe
customer Id,Customer Id,Identificación del cliente,هوية الزبون,N ° de client
house Number,House Number,Número de casa,رقم الدار,Numéro de maison
line 1,Line 1,Línea 1,خط 1,Ligne 1
enter Line1,Enter Line 1,Ingrese la línea 1,إدخال السطر 1,Entrez la ligne 1
create Card,Create Card,Crear tarjeta,إنشاء بطاقة,Créer une carte
add Fund,Add Fund,Agregar fondo,إضافة الصندوق,Ajouter un fonds
fees And Charges,Fees And Charges,Tarifas y cargos,الرسوم والمصاريف,Frais et frais
Active,Active,Activo,نشيط,Actif
Banned,Banned,Prohibido,محظور,banni
Unverified,Unverified,Inconfirmado,لم يتم التحقق منه,Non vérifié
All,All,Todo,الجميع,Tous
Name,Name,Nombre,اسم,Nom
Message,Message,Mensaje,رسالة,Message
Send Message,Send Message,Enviar mensaje,إرسال الرسالة,Envoyer le message
Mobile Number,Mobile Number,Número de teléfono móvil,رقم الهاتف المحمول,Numéro de portable
Back To,Back To,De regreso,ارجع الى,Retour à
Choose One,Choose One,Elige uno,اختر واحدة,Choisissez-en un
Your KYC information is submited. Please wait for admin confirmation. When you are KYC verified you will show your submited information here.,Your KYC information is submited. Please wait for admin confirmation. When you are KYC verified you will show your submited information here.,"Se envía su información de KYC. Espere la confirmación del administrador. Cuando esté verificado KYC, mostrará su información enviada aquí.",معلومات KYC الخاصة بك هي وضعت. يرجى انتظار تأكيد المسؤول. عندما يتم التحقق من KYC ، ستعرض معلوماتك المأهولة هنا.,"Vos informations KYC sont soumises. Veuillez attendre la confirmation de l'administration. Lorsque vous êtes vérifié KYC, vous montrerez vos informations soumises ici."
Front,Front,Frente,أمام,Devant
Back,Back,Atrás,خلف,Dos
ID Type,ID Type,tipo de identificación,نوع الهوية,Type d'identité
Are you sure to,Are you sure to,¿Estás seguro de,هل أنت متأكد من ذلك,Êtes-vous sûr de
Last Replied,Last Replied,Último respondió,رد الأخير,Dernier a répondu
Attachments,Attachments,Archivos adjuntos,المرفقات,Attachements
Description,Description,Descripción,وصف,Description
Transaction ID,Transaction ID,ID de transacción,رقم المعاملة,identifiant de transaction
Hold,Hold,Sostener,يمسك,Prise
Rejected,Rejected,Rechazado,مرفوض,Rejeté
Waiting,Waiting,Espera,منتظر,En attendant
Time & Date,Time & Date,Hora Fecha,الوقت والتاريخ,Heure Date
Limit ,Limit ,Límite,حد,Limite
Please follow the mimimum limit,Please follow the mimimum limit,Siga el límite de Mimimum,يرجى اتباع حد mimimum,Veuillez suivre la limite de mimimum
Please follow the maximum limit,Please follow the maximum limit,Siga el límite máximo,يرجى اتباع الحد الأقصى,Veuillez suivre la limite maximale
Charge,Charge,Cargar,تكلفة,Charge
No Record Found!,No Record Found!,¡Ningún record fue encontrado!,لا يوجد سجلات!,Aucun Enregistrement Trouvé!
Withdraw Money Log,Withdraw Money Log,Retirar el registro de dinero,سحب سجل الأموال,Retirer le journal de l'argent
Add Card,Add Card,Agregar tarjeta,إضافة بطاقة,Ajouter une carte
ccv,ccv,CCV,CCV,CCV
exp. end,exp. end,Exp. fin,إكسب. نهاية,Exp. fin
TEST MODE,TEST MODE,MODO DE PRUEBA,وضع الاختبار,MODE D'ESSAI
CARD-BUY,CARD-BUY,Compra de tarjetas,بطاقة الشراء,Adoptif
FUNDED,CARD-FUND,Fond de tarjetas,بطاقة البطاقة,Financement de cartes
CARD-WITHDRAW,CARD-WITHDRAW,Desglose,بطاقة withdraw,Carte-braquage
Delete Account,Delete Account,Borrar cuenta,حذف الحساب,Supprimer le compte
Close,Close,Cerca,يغلق,Fermer
If you do not think you will use,If you do not think you will use,Si no crees que usarás,إذا كنت لا تعتقد أنك ستستخدم,Si vous ne pensez pas que vous utiliserez
"Ex: TRX ID, Add Money","Ex: TRX ID, Add Money","Ej: ID de TRX, agregar dinero",على سبيل المثال: TRX ID ، أضف المال,"Ex: TRX ID, ajouter de l'argent"
Customer Reviews,Customer Reviews,Opiniones de los usuarios,آراء العملاء,Avis des clients
body_text_web,"again and like your account deleted, we can take care of this for you. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted","De nuevo y al igual que su cuenta eliminada, podemos encargarnos de esto por usted. Tenga en cuenta que no podrá reactivar su cuenta o recuperar ninguno de los contenidos o información que haya agregado. Si aún le gustaría que su cuenta se elimine",مرة أخرى ومثل حسابك المحذوفة ، يمكننا الاعتناء بذلك نيابة عنك. ضع في اعتبارك أنك لن تتمكن من إعادة تنشيط حسابك أو استرداد أي من المحتوى أو المعلومات التي أضفتها. إذا كنت ستظل تحب حذف حسابك,"Encore une fois et comme votre compte supprimé, nous pouvons nous en occuper pour vous. Gardez à l'esprit que vous ne pourrez pas réactiver votre compte ou récupérer tout contenu ou information que vous avez ajouté. Si vous souhaitez toujours que votre compte soit supprimé"
Enter Subject,Enter Subject,Entrar en el sujeto,أدخل الموضوع,Entrer le sujet
Write Here,Write Here,Escribe aquí,اكتب هنا,Écrivez ici
Withdraw Logs,Withdraw Logs,Retirar registros,سحب سجلات,Retirer les journaux
Virtual Card Logs,Virtual Card Logs,Registros de tarjetas virtuales,سجلات البطاقات الافتراضية,Journaux de cartes virtuelles
KYC Unverified,KYC Unverified,KYC no verificado,KYC غير التحقق,KYC non vérifié
Admin Care,Admin Care,Atención administrativa,رعاية المسؤول,Soins aux administrateurs
All Admin,All Admin,Todos los administradores,كل المشرف,Tout administrateur
Admin Role,Admin Role,Rol de administrador,دور المسؤول,Rôle d'administration
Role Permission,Role Permission,Permiso de rol,إذن الدور,Permission de rôle
Email To Admin,Email To Admin,Correo electrónico al administrador,البريد الإلكتروني إلى المسؤول,E-mail à l'administrateur
Web Settings,Web Settings,Configuración web,إعدادات الويب,Paramètres Web
Basic Settings,Basic Settings,Ajustes básicos,الإعدادات الأساسية,Paramètres de base
Image Assets,Image Assets,Activos de imagen,أصول الصورة,Actifs d'image
Setup SEO,Setup SEO,Configuración de SEO,إعداد SEO,Configuration du référencement
App Settings,App Settings,Ajustes de Aplicacion,إعدادات التطبيقات,Paramètres de l'application
Splash Screen,Splash Screen,Pantalla de bienvenida,شاشة البداية,Écran de démarrage
Onboard Screen,Onboard Screen,Pantalla a bordo,على متن الشاشة,Écran à bord
App URLs,App URLs,URL de aplicaciones,APP urls,URL de l'application
Languages,Languages,Lenguas,اللغات,Langues
Setup Email,Setup Email,Correo electrónico de configuración,إعداد البريد الإلكتروني,Configuration de l'e-mail
Email Method,Email Method,Método de correo electrónico,طريقة البريد الإلكتروني,Méthode par e-mail
Setup KYC,Setup KYC,Configurar KYC,إعداد KYC,Configuration de KYC
Setup Web Content,Setup Web Content,Configurar contenido web,إعداد محتوى الويب,Configuration du contenu Web
Home Banner,Home Banner,Estandarte,لافتة المنزل,Bannière à domicile
About Section,About Section,Acerca de la sección,حول القسم,À propos de la section
Work Section,Work Section,Sección de trabajo,قسم العمل,Section de travail
Statistics Section,Statistics Section,Sección estadística,قسم الإحصاءات,Section des statistiques
Testimonials Section,Testimonials Section,Sección de testimonios,قسم الشهادات,Section des témoignages
Blog Category,Blog Category,Categoría de blog,فئة المدونة,Catégorie de blog
Blog Section,Blog Section,Sección de blogs,قسم المدونة,Section de blog
Contact Section,Contact Section,Sección de contacto,قسم الاتصال,Section de contact
Footer Section,Footer Section,Sección de fútbol,قسم تذييل,Section de pied de page
Setup Pages,Setup Pages,Configuración de páginas,صفحات الإعداد,Pages de configuration
Extensions,Extensions,Extensiones,الامتدادات,Extensions
Payment Methods,Payment Methods,Métodos de pago,طرق الدفع,méthodes de payement
Automatic,Automatic,Automático,تلقائي,Automatique
Manual,Manual,Manual,يدوي,Manuel
Money out,Money out,Apagarse,لم يبقى اي من المال,Plus d'argent
Push Notification,Push Notification,Notificación de inserción,إشعار دفع,Notification push
Setup Notification,Setup Notification,Notificación de configuración,إشعار الإعداد,Notification de configuration
Send Notification,Send Notification,Enviar notificación,إرسال إشعار,Envoyer une notification
Contact Messages,Contact Messages,Mensajes de contacto,اتصل بالرسائل,Messages de contact
Bonus,Bonus,Prima,علاوة,Prime
GDPR Cookie,GDPR Cookie,Galleta RGPD,ملف تعريف الارتباط الناتج المحلي الإجمالي,Cookie du RGPD
Server Info,Server Info,Información del servidor,معلومات الخادم,Informations sur le serveur
Clear Cache,Clear Cache,Limpiar cache,مسح ذاكرة التخزين المؤقت,Vider le cache
Don't Have An Account?,Don't Have An Account?,¿No tienes una cuenta?,ليس لديك حساب؟,Vous n'avez pas de compte?
Verification Center,Verification Center,Centro de verificación,مركز التحقق,Centre de vérification
Default,Default,Por defecto,تقصير,Défaut
Add Money Log,Add Money Log,Agregar registro de dinero,أضف سجل الأموال,Ajouter un journal d'argent
This Month,This Month,Este mes,هذا الشهر,Ce mois-ci
Flutterwave Balance,Flutterwave Balance,Balance de flutero,توازن Flutterwave,Balance de Flutterwave
Stripe Issuing Balance,Strowallet Balance,Balance de Strowallet,رصيد سترواليت,Équilibre strowallet
Strowallet Balance,Strowallet Balance,Balance de Strowallet,رصيد سترواليت,Équilibre strowallet
Sudo Balance,Sudo Balance,Balance de sudo,توازن سودو,Balance sudo
View,View,Vista,منظر,Voir
Monthly Add Money Chart,Monthly Add Money Chart,Gráfico mensual de dinero Agregar,شهري إضافة الرسم البياني المال,Ajouter un tableau de fonds mensuel
Monthly Virtual Card Chart,Monthly Virtual Card Chart,Gráfico de tarjeta virtual mensual,مخطط البطاقة الافتراضية الشهرية,Graphique de cartes virtuelles mensuelles
Announcement Analytics,Announcement Analytics,Análisis de anuncios,تحليلات الإعلان,Analyse d'annonce
View Blogs,View Blogs,Ver blogs,عرض المدونات,Voir les blogs
User Analytics,User Analytics,Análisis de usuarios,تحليلات المستخدم,Analyse utilisateur
View User,View User,Ver usuario,عرض المستخدم,Afficher l'utilisateur
Add Money Growth,Add Money Growth,Agregar crecimiento de dinero,أضف نمو المال,Ajouter une croissance de l'argent
View Add Money,View Add Money,Ver agregar dinero,عرض إضافة المال,Voir Ajouter de l'argent
Latest Add Money,Latest Add Money,Último agregar dinero,أحدث إضافة المال,Dernier Ajouter de l'argent
TRX,TRX,TRX,TRX,Trx
User,User,Usuario,مستخدم,Utilisateur
Method,Method,Método,طريقة,Méthode
Time,Time,Tiempo,وقت,Temps
Action,Action,Acción,فعل,Action
Completed,Completed,Terminado,مكتمل,Complété
Canceled,Canceled,Cancelado,ألغيت,Annulé
Today,Today,Hoy,اليوم,Aujourd'hui
1 week,1 week,1 semana,أسبوع 1,1 semaine
1 month,1 month,1 mes,1 شهر,1 mois
Notifications clear successfully!,Notifications clear successfully!,¡Notificaciones claras con éxito!,الإخطارات واضحة بنجاح!,Les notifications sont claires avec succès!
Add Money request rejected successfully,Add Money request rejected successfully,Agregar solicitud de dinero rechazada con éxito,أضف طلب الأموال المرفض بنجاح,Ajouter une demande d'argent rejetée avec succès
Email send successfully!,Email send successfully!,¡Envíe el correo electrónico con éxito!,إرسال البريد الإلكتروني بنجاح!,Email Envoyez avec succès!
Opps! Failed to upload image.,Opps! Failed to upload image.,¡Opps! No se pudo subir la imagen.,أوس! فشل في تحميل الصورة.,OPPS! Impossible de télécharger l'image.
Role assign Failed!,Role assign Failed!,¡Falló el rol de asignación!,فشل تعيين الدور!,Rôle Assign a échoué!
New admin created successfully!,New admin created successfully!,¡Nuevo administrador creado con éxito!,تم إنشاء مسؤول جديد بنجاح!,Le nouvel administrateur a créé avec succès!
Opps! Target admin not found!,Opps! Target admin not found!,¡Opps! ¡El administrador objetivo no se encuentra!,أوس! المسؤول الهدف لم يتم العثور عليه!,OPPS! Admin cible non trouvé!
Failed to assign role.,Failed to assign role.,No se pudo asignar el rol.,فشل في تعيين الدور.,Échec de l'attribution du rôle.
Admin information updated successfully!,Admin information updated successfully!,Información de administración actualizada con éxito!,معلومات المسؤول تحديث بنجاح!,Informations d'administration mises à jour avec succès!
Admin Status Updated Successfully,Admin Status Updated Successfully,Estado de administrador actualizado correctamente,تم تحديث حالة المسؤول بنجاح,Statut d'administration mis à jour avec succès
Admin role created successfully!,Admin role created successfully!,¡Rol de administración creado con éxito!,تم إنشاء دور المسؤول بنجاح!,Rôle de l'administrateur créé avec succès!
Opps! Target not found!,Opps! Target not found!,¡Opps! Objetivo no encontrado!,أوس! الهدف لم يتم العثور عليه!,OPPS! Cible introuvable!
Admin role deleted successfully!,Admin role deleted successfully!,¡Rol de administración eliminado con éxito!,تم حذف دور المسؤول بنجاح!,Rôle de l'administrateur supprimé avec succès!
Permission created successfully!,Permission created successfully!,¡Permiso creado con éxito!,إذن تم إنشاؤه بنجاح!,Permission créée avec succès!
Target not found!,Target not found!,Objetivo no encontrado!,الهدف لم يتم العثور عليه!,Cible introuvable!
Permission not found!,Permission not found!,¡Permiso no encontrado!,إذن لم يتم العثور عليه!,Permission introuvable!
Permission updated successfully!,Permission updated successfully!,¡Permiso actualizado con éxito!,تم تحديث إذن بنجاح!,Permission mise à jour avec succès!
Permission deleted successfully!,Permission deleted successfully!,¡Permiso eliminado con éxito!,تم حذف إذن بنجاح!,Permission supprimée avec succès!
Role permission not found!,Role permission not found!,¡Permiso de rol no encontrado!,إذن الدور غير موجود!,Permission de rôle introuvable!
Permission assign successfully!,Permission assign successfully!,Permiso asignar con éxito!,إذن تعيين بنجاح!,Permission Attribuez avec succès!
Admin deleted successfully!,Admin deleted successfully!,Admin eliminado con éxito!,تم حذف المسؤول بنجاح!,L'administrateur a supprimé avec succès!
Onboard Screen Added Successfully!,Onboard Screen Added Successfully!,¡Pantalla a bordo agregada con éxito!,أضيفت الشاشة على متن الطائرة بنجاح!,Écran à bord ajouté avec succès!
Onboard screen not found!,Onboard screen not found!,¡Pantalla a bordo no encontrada!,على متن الشاشة غير موجودة!,Écran à bord introuvable!
Onboard screen Status Updated Successfully.,Onboard screen Status Updated Successfully.,Estado de la pantalla a bordo actualizado correctamente.,تم تحديث حالة الشاشة على متن الطائرة بنجاح.,État de l'écran à bord mis à jour avec succès.
Onboard screen information updated successfully!,Onboard screen information updated successfully!,Información de pantalla a bordo actualizada correctamente!,تم تحديث معلومات الشاشة على متن الطائرة بنجاح!,Informations sur l'écran à bord mise à jour avec succès!
Screen deleted successfully!,Screen deleted successfully!,¡Pantalla eliminada con éxito!,تم حذف الشاشة بنجاح!,Écran supprimé avec succès!
Splash screen updated successfully!,Splash screen updated successfully!,¡Pantalla de salpicaduras actualizada con éxito!,تم تحديث شاشة دفقة بنجاح!,Splash Screen mis à jour avec succès!
URL settings updated successfully!,URL settings updated successfully!,Configuración de URL actualizada con éxito!,تحديث إعدادات URL بنجاح!,Paramètres d'URL mis à jour avec succès!
Email successfully sended,Email successfully sended,Correo electrónico enviado correctamente,أرسل البريد الإلكتروني بنجاح,E-mail envoyé avec succès
Contact Message delete successfully!,Contact Message delete successfully!,¡Póngase en contacto con el Mensaje Eliminar con éxito!,اتصل برسالة حذف بنجاح!,Contact Message Supprimer avec succès!
Cookie information updated successfully!,Cookie information updated successfully!,¡Información de cookies actualizada con éxito!,تم تحديث معلومات ملفات تعريف الارتباط بنجاح!,Informations sur les cookies Mis à jour avec succès!
Withdraw Money Request Approved Successfully,Withdraw Money Request Approved Successfully,Retirar la solicitud de dinero aprobada con éxito,سحب طلب الأموال الموافقة بنجاح,Retirer la demande d'argent approuvée avec succès
Withdraw Money Request Rejected Successfully,Withdraw Money Request Rejected Successfully,Retirar la solicitud de dinero rechazada con éxito,سحب طلب المال رفض بنجاح,Retirer la demande d'argent rejetée avec succès
Payment gateway currency not found!,Payment gateway currency not found!,¡No se encuentra la moneda de la pasarela de pago!,عملة بوابة الدفع لم يتم العثور عليها!,Paiement de la passerelle de la passerelle introuvable!
Payment gateway currency deleted successfully!,Payment gateway currency deleted successfully!,¡La moneda de la pasarela de pago se elimina con éxito!,تم حذف عملة بوابة الدفع بنجاح!,Paiement de la monnaie de passerelle supprimée avec succès!
gateway_name,gateway_name,gateway_name,gateway_name,gateway_name
The gateway name has already been taken.,The gateway name has already been taken.,El nombre de la puerta de entrada ya ha sido tomado.,تم بالفعل أخذ اسم البوابة.,Le nom de la passerelle a déjà été pris.
Payment gateway added successfully!,Payment gateway added successfully!,¡PAGO GIERTWAY agregado con éxito!,وأضاف بوابة الدفع بنجاح!,La passerelle de paiement a ajouté avec succès!
Payment gateway not found!.,Payment gateway not found!.,¡No se encuentra la pasarela de pago!.,بوابة الدفع لم يتم العثور عليها!.,PAYAGE PAYAGE INTÉRIEUR !.
Payment gateway Status Updated Successfully,Payment gateway Status Updated Successfully,Estado de la pasarela de pago actualizado correctamente,تم تحديث حالة بوابة الدفع بنجاح,État de passerelle de paiement mis à jour avec succès
Information updated successfully!,Information updated successfully!,Información actualizada con éxito!,تم تحديث المعلومات بنجاح!,Informations mises à jour avec succès!
Image upload failed! Please try again.,Image upload failed! Please try again.,¡Falló la carga de imagen! Inténtalo de nuevo.,فشل تحميل الصورة! حاول مرة اخرى.,Le téléchargement d'image a échoué! Veuillez réessayer.
Opps! Payment gateway not found!,Opps! Payment gateway not found!,¡Opps! ¡Pase la pasarela no encontrada!,أوس! بوابة الدفع غير موجودة!,OPPS! PAYAGE PAYAGE INTÉRIEUR!
Payment gateway deleted successfully!,Payment gateway deleted successfully!,¡Pague pasarela eliminada con éxito!,تم حذف بوابة الدفع بنجاح!,Paiement Gateway supprimé avec succès!
Page not found!,Page not found!,¡Página no encontrada!,الصفحة غير موجودة!,Page non trouvée!
Setup Page Status Updated Successfully,Setup Page Status Updated Successfully,Estado de la página de configuración actualizado correctamente,تم تحديث حالة إعداد صفحة الإعداد بنجاح,Configuration de l'état de la page mis à jour avec succès
Service item delete successfully!,Service item delete successfully!,¡Elemento de servicio elimina con éxito!,حذف عنصر الخدمة بنجاح!,Article de service Supprimer avec succès!
Category Saved Successfully!,Category Saved Successfully!,¡Categoría guardada con éxito!,تم حفظ الفئة بنجاح!,Catégorie Sauvé avec succès!
Category Updated Successfully!,Category Updated Successfully!,Categoría actualizada con éxito!,تحديث الفئة بنجاح!,Catégorie mise à jour avec succès!
Category record not found in our system.,Category record not found in our system.,Registro de categoría no se encuentra en nuestro sistema.,سجل الفئة غير موجود في نظامنا.,Enregistrement de catégorie introuvable dans notre système.
Category Status Updated Successfully,Category Status Updated Successfully,Estado de categoría actualizado correctamente,تم تحديث حالة الفئة بنجاح,Statut de catégorie mis à jour avec succès
Category deleted successfully!,Category deleted successfully!,Categoría eliminada con éxito!,تم حذف الفئة بنجاح!,Catégorie supprimée avec succès!
Blog item added successfully!,Blog item added successfully!,¡Artículo del blog agregado con éxito!,تم إضافة عنصر مدونة بنجاح!,L'article de blog a ajouté avec succès!
Blog item updated successfully!,Blog item updated successfully!,¡Artículo de blog actualizado con éxito!,تم تحديث عنصر المدونة بنجاح!,Article de blog mis à jour avec succès!
BLog delete successfully!,BLog delete successfully!,¡Blog Eliminar con éxito!,حذف المدونة بنجاح!,Blog Supprimer avec succès!
Blog record not found in our system.,Blog record not found in our system.,Registro de blog no se encuentra en nuestro sistema.,سجل المدونة غير موجود في نظامنا.,Enregistrement de blog que l'on ne trouve pas dans notre système.
Blog Status Updated Successfully,Blog Status Updated Successfully,Estado del blog actualizado con éxito,تم تحديث حالة المدونة بنجاح,Statut de blog mis à jour avec succès
SMS Sending Failed! Please try again.,SMS Sending Failed! Please try again.,¡El envío de SMS falló! Inténtalo de nuevo.,فشل إرسال الرسائل القصيرة! حاول مرة اخرى.,SMS Envoi a échoué! Veuillez réessayer.
Failed to change status to active!,Failed to change status to active!,¡No se pudo cambiar el estado a activo!,فشل في تغيير الحالة إلى نشط!,N'a pas réussi à changer l'état en actif!
Mark as solved success,Mark as solved success,Mark como éxito resuelto,مارك كنجاح حل,Mark comme un succès résolu
Charge Updated Successfully!,Charge Updated Successfully!,¡Cargo actualizado con éxito!,تم تحديث الرسوم بنجاح!,Chargez à jour avec succès!
Page added successfully!,Page added successfully!,¡Página agregada con éxito!,تمت إضافة الصفحة بنجاح!,Page ajoutée avec succès!
admin.useful.links.index,admin.useful.links.index,admin.useful.links.index,admin.useful.links.index,admin.Useful.links.index
Page updated successfully!,Page updated successfully!,¡Página actualizada con éxito!,تم تحديث الصفحة بنجاح!,Page mise à jour avec succès!
Page record not found in our system.,Page record not found in our system.,Registro de página no se encuentra en nuestro sistema.,سجل الصفحة غير موجود في نظامنا.,Enregistrement de la page introuvable dans notre système.
Page Status Updated Successfully,Page Status Updated Successfully,Estado de la página actualizado correctamente,تم تحديث حالة الصفحة بنجاح,État de la page mis à jour avec succès
Page deleted successfully!,Page deleted successfully!,¡Página eliminada con éxito!,تم حذف الصفحة بنجاح!,Page supprimée avec succès!
Opps! User not exists,Opps! User not exists,¡Opps! El usuario no existe,أوس! المستخدم لا يوجد,OPPS! L'utilisateur n'existe pas
Mail successfully sended,Mail successfully sended,Correo enviado correctamente,تم إرسال البريد بنجاح,Envoyez avec succès
Profile Information Updated Successfully!,Profile Information Updated Successfully!,¡Información de perfil actualizada con éxito!,معلومات الملف الشخصي تحديث بنجاح!,Informations sur le profil mis à jour avec succès!
User KYC successfully approved,User KYC successfully approved,El usuario KYC aprobó con éxito,وافق المستخدم KYC بنجاح,L'utilisateur KYC a approuvé avec succès
User KYC information not found,User KYC information not found,Información del usuario de KYC no encontrada,لم يتم العثور على معلومات المستخدم KYC,Informations KYC utilisateur introuvables
User KYC information is rejected,User KYC information is rejected,La información del usuario KYC es rechazada,تم رفض معلومات المستخدم KYC,Les informations de l'utilisateur KYC sont rejetées
User do not have sufficient balance,User do not have sufficient balance,El usuario no tiene suficiente equilibrio,المستخدم ليس لديه توازن كاف,L'utilisateur n'a pas suffisamment d'équilibre
Transaction success,Transaction success,Éxito de la transacción,نجاح المعاملة,Succès des transactions
Ops! Failed To Upload Image.,Ops! Failed To Upload Image.,¡Ops! No se pudo subir la imagen.,فرط! فشل في تحميل الصورة.,OPS! Impossible de télécharger l'image.
Card API Has Been Updated.,Card API Has Been Updated.,La API de la tarjeta se ha actualizado.,تم تحديث Card API.,L'API de la carte a été mise à jour.
Basic settings not found!,Basic settings not found!,Configuración básica no encontrada!,الإعدادات الأساسية غير موجودة!,Paramètres de base introuvables!
Basic settings updated successfully!,Basic settings updated successfully!,Configuración básica actualizada con éxito!,الإعدادات الأساسية تحديث بنجاح!,Paramètres de base mis à jour avec succès!
You have to configure your system mail first.,You have to configure your system mail first.,Primero debe configurar el correo de su sistema.,يجب عليك تكوين بريد النظام الخاص بك أولاً.,Vous devez d'abord configurer votre courrier système.
Please setup KYC field first. Go to [Setup KYC] page from sidebar,Please setup KYC field first. Go to [Setup KYC] page from sidebar,Configure el campo KYC primero. Vaya a la página [Configurar KYC] desde la barra lateral,يرجى إعداد حقل KYC أولاً. انتقل إلى صفحة [Setup KYC] من الشريط الجانبي,Veuillez d'abord configurer KYC Field. Allez sur la page [Configuration de Kyc] de la barre latérale
Basic settings Status Updated Successfully,Basic settings Status Updated Successfully,Estado de configuración básica actualizada correctamente,تحديث حالة الإعدادات الأساسية بنجاح,État des paramètres de base mis à jour avec succès
Basic setting not found! Please run database seeder,Basic setting not found! Please run database seeder,Configuración básica no encontrada! Ejecute un semiller de base de datos,الإعداد الأساسي لم يتم العثور عليه! الرجاء تشغيل قاعدة البيانات بذور,Paramètre de base introuvable! Veuillez exécuter le Seeder de la base de données
No changes to update.,No changes to update.,No hay cambios en la actualización.,لا توجد تغييرات للتحديث.,Aucune modification à mise à jour.
Image assets updated successfully!.,Image assets updated successfully!.,¡Activos de imagen actualizados con éxito!.,تم تحديث أصول الصورة بنجاح!.,Les actifs d'image sont mis à jour avec succès!.
SEO information updated successfully!,SEO information updated successfully!,¡Información de SEO actualizada con éxito!,تم تحديث معلومات كبار المسئولين الاقتصاديين بنجاح!,Informations SEO mises à jour avec succès!
options,options,opción,خيارات,options
Enable,Enable,Permitir,يُمكَِن,Activer
Disable,Disable,Desactivar,إبطال,Désactiver
label,label,etiqueta,ملصق,étiquette
Language Code,Language Code,Código de lenguaje,رمز اللغة,Code linguistique
Direction,Direction,Dirección,اتجاه,Direction
LTR,LTR,LTR,LTR,LTR
RTL,RTL,RTL,RTL,Rtl
Language Name,Language Name,Nombre del lenguaje,اسم اللغة,Nom de la langue
Code,Code,Código,شفرة,Code
Symbol,Symbol,Símbolo,رمز,Symbole
Add Money Details,Add Money Details,Agregar detalles de dinero,أضف تفاصيل المال,Ajouter des détails d'argent
No data found!,No data found!,¡Datos no encontrados!,لاتوجد بيانات!,Aucune donnée disponible!
Deactive,Deactive,Desactivo,إلهي,Désagréable
Disabled,Disabled,Desactivado,عاجز,Désactivé
Selectable,Selectable,Seleccionable,يمكن اختياره,Sélectionnable
Withdraw Money Details,Withdraw Money Details,Retirar detalles de dinero,سحب تفاصيل المال,Retirer les détails de l'argent
Explain Rejection Reason,Explain Rejection Reason,Explicar la razón de rechazo,شرح سبب الرفض,Expliquer la raison du rejet
Gateway Environment,Gateway Environment,Entorno de puerta de enlace,بيئة بوابة,Environnement de passerelle
Crypto Assets,Crypto Assets,Activos criptográficos,أصول التشفير,Actifs cryptographiques
Zip/Postal,Zip/Postal,Código postal,الرمز البريدي,Zip / postal
Setup Section,Setup Section,Sección de configuración,قسم الإعداد,Section de configuration
Tags,Tags,Etiquetas,العلامات,Mots clés
